date,county,state,cases,deaths,type,SAH
2020-02-26,Snohomish,Washington,1,0,Stay at home,0
2020-02-26,Spokane,Washington,4,0,Stay at home,0
2020-02-26,Dane,Wisconsin,1,0,Stay at home,0
2020-02-27,Maricopa,Arizona,1,0,Stay at home,0
2020-02-27,Humboldt,California,1,0,Stay at home,0
2020-02-27,Los Angeles,California,1,0,Stay at home,0
2020-02-27,Marin,California,1,0,Stay at home,0
2020-02-27,Napa,California,1,0,Stay at home,0
2020-02-27,Orange,California,1,0,Stay at home,0
2020-02-27,Sacramento,California,3,0,Stay at home,0
2020-02-27,San Diego,California,1,0,Stay at home,0
2020-02-27,San Francisco,California,3,0,Stay at home,0
2020-02-27,Santa Clara,California,2,0,Stay at home,0
2020-02-27,Solano,California,11,0,Stay at home,0
2020-02-27,Sonoma,California,1,0,Stay at home,0
2020-02-27,Cook,Illinois,2,0,Stay at home,0
2020-02-27,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-27,Douglas,Nebraska,13,0,,0
2020-02-27,Bexar,Texas,10,0,Stay at home,0
2020-02-27,Bexar,Texas,10,0,Stay at home,0
2020-02-27,Salt Lake,Utah,1,0,Stay at home,0
2020-02-27,Snohomish,Washington,1,0,Stay at home,0
2020-02-27,Spokane,Washington,4,0,Stay at home,0
2020-02-27,Dane,Wisconsin,1,0,Stay at home,0
2020-02-28,Maricopa,Arizona,1,0,Stay at home,0
2020-02-28,Humboldt,California,1,0,Stay at home,0
2020-02-28,Los Angeles,California,1,0,Stay at home,0
2020-02-28,Marin,California,1,0,Stay at home,0
2020-02-28,Napa,California,1,0,Stay at home,0
2020-02-28,Orange,California,1,0,Stay at home,0
2020-02-28,Sacramento,California,3,0,Stay at home,0
2020-02-28,San Diego,California,1,0,Stay at home,0
2020-02-28,San Francisco,California,3,0,Stay at home,0
2020-02-28,Santa Clara,California,3,0,Stay at home,0
2020-02-28,Solano,California,11,0,Stay at home,0
2020-02-28,Sonoma,California,1,0,Stay at home,0
2020-02-28,Cook,Illinois,2,0,Stay at home,0
2020-02-28,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-28,Douglas,Nebraska,13,0,,0
2020-02-28,Washington,Oregon,1,0,Stay at home,0
2020-02-28,Bexar,Texas,11,0,Stay at home,0
2020-02-28,Bexar,Texas,11,0,Stay at home,0
2020-02-28,Salt Lake,Utah,1,0,Stay at home,0
2020-02-28,King,Washington,1,0,Stay at home,0
2020-02-28,Snohomish,Washington,2,0,Stay at home,0
2020-02-28,Spokane,Washington,4,0,Stay at home,0
2020-02-28,Dane,Wisconsin,1,0,Stay at home,0
2020-02-29,Maricopa,Arizona,1,0,Stay at home,0
2020-02-29,Humboldt,California,1,0,Stay at home,0
2020-02-29,Los Angeles,California,1,0,Stay at home,0
2020-02-29,Marin,California,1,0,Stay at home,0
2020-02-29,Napa,California,1,0,Stay at home,0
2020-02-29,Orange,California,1,0,Stay at home,0
2020-02-29,Sacramento,California,3,0,Stay at home,0
2020-02-29,San Diego,California,1,0,Stay at home,0
2020-02-29,San Francisco,California,3,0,Stay at home,0
2020-02-29,Santa Clara,California,4,0,Stay at home,0
